Term,Spotify_SFA,Spotify_Creator Promotion,Scribd,QDT,Zignal,WGU,Afterpay,Lumen,Kin + Carta,HashiCorp,Talentify,Trellance,Upgrade,Sprouts,Pngme,Posh,SigFig,GGWP,NExTNet,Dashworks,Alectio,TOTALS,Notes
Prefect,,,,,,,,,1,,,,,,,,,,,,,1,
seaborn,,,,,,,,,1,,,,,,,,,,,,,1,
KPIs,,,,,,,,,1,,,,,,,,,,,,,1,
builders,,,,,,,,,1,,,,,,,,,,,,,1,
business decisions,,,,,,,,,1,,,,,,,,,,,,,1,
timelines,,,,,,,,,1,,,,,,,,,,,,,1,
dependences,,,,,,,,,1,,,,,,,,,,,,,1,
tracking,,,,,,,,,1,,,,,,,,,,,,,1,
AngularJS,,,,,,,,,1,,,,,,,,,,,,,1,
Equity,,,,,,,,,1,,,,,,,,,,,,,1,
bokeh,,,,,,,,,1,,,,,,,,,,,,,1,
ARIMA,,,,,,,,,,1,,,,,,,,,,,,1,
GBM,,,,,,,,,,1,,,,,,,,,,,,1,
Partnership Ecosystem,,,,,,,,,,1,,,,,,,,,,,,1,
data: foundations,,,,,,,,,,1,,,,,,,,,,,,1,
timely actions,,,,,,,,,,1,,,,,,,,,,,,1,
LSTM,,,,,,,,,,1,,,,,,,,,,,,1,
DL: hyper-parameter tuning,,,,,,,,,,1,,,,,,,,,,,,1,
Sales,,,,,,,,,,1,,,,,,,,,,,,1,
supervised learning,,,,,,,,,,1,,,,,,,,,,,,1,
Markov,,,,,,,,,,1,,,,,,,,,,,,1,
consumption-based,,,,,,,,,,1,,,,,,,,,,,,1,
bookings,,,,,,,,,,1,,,,,,,,,,,,1,
reduction,,,,,,,,,,1,,,,,,,,,,,,1,
 customer insights,,,,,,,,,,1,,,,,,,,,,,,1,
" monte carlo
",,,,,,,,,,1,,,,,,,,,,,,1,
RNN,,,,,,,,,,1,,,,,,,,,,,,1,
data: dimensionality,,,,,,,,,,1,,,,,,,,,,,,1,
association mining,,,,,,,,,,1,,,,,,,,,,,,1,
Univariate analysis,,,,,,,,,,1,,,,,,,,,,,,1,
customer: acquisition,,,,,,,,,,1,,,,,,,,,,,,1,
