Term,Spotify_SFA,Spotify_Creator Promotion,Scribd,QDT,Zignal,WGU,Afterpay,Lumen,Kin + Carta,HashiCorp,Talentify,Trellance,Upgrade,Sprouts,Pngme,Posh,SigFig,GGWP,NExTNet,Dashworks,Alectio,TOTALS,Notes
SAS,,,,,,checked,,,,,,checked,,,,,,,,,,2,
adoption,,,,,,,checked,,,,,,,,,,,,,,checked,2,
meaningful,,,,,,,checked,,,,,,checked,,,,,,,,,2,
Support,,,,,,,checked,,,,,,,,,,,checked,,,,2,
data: complex,,,,,,,checked,,,,,,,,,,checked,,,,,2,
partnerships,,,,,,,checked,,,,,,,,,,checked,,,,,2,
pattern-recognition,,,,,,,checked,,,,,checked,,,,,,,,,,2,
monitoring,,,,,,,,checked,,,checked,,,,,,,,,,,2,
uncertainty,,,,,,,,checked,,checked,,,,,,,,,,,,2,
revenue optimization,,,,,,,,checked,,checked,,,,,,,,,,,,2,
libraries,,,,,,,,,checked,,,,,,,checked,,,,,,2,
D3,,,,,,,,,checked,,,,,,,,checked,,,,,2,
optimization,,,,,,,,,checked,,,,,,,,checked,,,,,2,
REST APIs,,,,,,,,,checked,,,,,,,,checked,,,,,2,
fun,,,,,,,,,checked,,,,,,,,checked,,,,,2,
CSS,,,,,,,,,checked,,,,,,,,,checked,,,,2,
consulting,,,,,,,,,checked,,,checked,,,,,,,,,,2,
talented,,,,,,,,,,checked,,,,,,,,checked,,,,2,
Pandas,,,,,,,,,,checked,,,,,,,checked,,,,,2,
finance,,,,,,,,,,checked,,checked,,,,,,,,,,2,
ensemble methods,,,,,checked,,,,,checked,,,,,,,,,,,,2,
hands-on,,,,,,,,,,,checked,,,checked,,,,,,,,2,
querying,,,,,,,,,,,checked,,,,,,,checked,,,,2,
communicate: technical,,,,,,,,,,,checked,,,,,checked,,,,,,2,
methodical,,,,,,,,,,,,checked,,,,checked,,,,,,2,
Java,,,,,,,,,,,,checked,,,,,,,,,checked,2,
error analysis,,,,,,,,,,,,checked,,checked,,,,,,,,2,
ad-hoc,,,,,,,,,,,,checked,,checked,,,,,,,,2,
Random Forest,,,,,,,,,,checked,,,checked,,,,,,,,,2,
development,,,,,,,,,,,,,checked,,,,,,checked,,,2,
certification,,,,checked,,,,,,,,,,checked,,,,,,,,2,
growth,,,,,,,,,checked,,,,,checked,,,,,,,,2,
ML: ops,,,,,,,,,,,,,,checked,,,,,,,checked,2,
building,,,,,,,,,,,,,,checked,,checked,,,,,,2,
labeling,,checked,,,,,,,,,,,,checked,,,,,,,,2,
organized,,,,,,,checked,,,,,,,checked,,,,,,,,2,
conversation,,,,,,,,,,,,,,,checked,,checked,,,,,2,
scientific community,,,,,,,,,,,,,,,,checked,,checked,,,,2,
positive attitude,,,,,,,,,,,,,,,,checked,,checked,,,,2,
product: recommendation,,,,,,,,,,,,,,,,checked,checked,,,,,2,
information retrieval,,,,,,,,,,,,,,,,checked,,,,checked,,2,
owner,,,,,,,,,,,,,,,,checked,,,,checked,,2,
core values,,,,,,,,,,,,,,,,checked,checked,,,,,2,
customer-centric,,,,,,,,,,,,,,,,,checked,checked,,,,2,
reports,,,,,,checked,,,,,,,,,,,checked,,,,,2,
business logic,,,,,,,,,,checked,,,,,,,checked,,,,,2,
Think Big,,,,,,,,,,,,,,,,,checked,,,,checked,2,
NLP: conversational,,,,,,,,,,,,,,,,checked,checked,,,,,2,
propose improvements,,,,,,,,,,,,,,,,checked,checked,,,,,2,
maker,,,,,,,,,checked,,,,,,,,checked,,,,,2,
deployment,,,,,,,,,,,,,,,,,checked,,,checked,,2,
intuitive,,,,,,,,,,,,,,,,,checked,,,checked,,2,
empower,,,,,,,,,,,,,,,,,checked,,,checked,,2,
customer: services,,,,,,,,,,,,checked,,,,,checked,,,,,2,
disrupt,,,,,,,,,,,,,,,,,checked,,,,checked,2,
segmentation,,,,,,,,,,,,,,,,,checked,checked,,,,2,
DynamoDB,,,,,,,,,,,,,,,,,,checked,checked,,,2,
models: eval,,,,,,,,,,,,,checked,,,,,checked,,,,2,
